"id";"famille";"genre";"espece";"nom_vernaculaire";"WORMS_AphiID";"Fishbase_URL";"photos";"photo_credit";"description";"Ref_description";"Presence_records";"Ref_presence_record";"presence_mayotte";"presence_geyser_zelee";"presence_zelee_nov15";"Taille_maturite";"Type_taille_maturite";"Ref_taille_maturite";"Taille_max";"Type_taille_max";"Ref_taille_max";"Type_mesure_taille_max";"Ref_taille";"coeff_a";"coeff_b";"Niveau_taxo_coeff";"Type_mesure_coeffab";"Ref_coeff";"Interet_commercial_Mayotte";"Ref_commercial_Mayotte";"Vulnerabilite_peche";"Ref_vulnerabilite_peche";"last_update";"Remarque"
"1";"Abalistes_stellatus";"BALISTIDAE";"Abalistes";"stellatus";"Baliste étoilé";NA;NA;"55";NA;"";NA;"Zelee,Geyser,Mayotte";NA;1;0;1;"34";NA;NA;"60";NA;NA;"TL";NA;"0.0057";"3.393";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"2";"Abudefduf_notatus";"POMACENTRIDAE";"Abudefduf";"notatus";"Sergent-major à queue jaune";NA;NA;"226";NA;"";NA;"Mayotte";NA;1;0;0;"11.2";NA;NA;"17";NA;NA;"TL";NA;"0.0226";"3.132";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"3";"Abudefduf_sexfasciatus";"POMACENTRIDAE";"Abudefduf";"sexfasciatus";"Sergent-major à queue en ciseaux";NA;NA;"627";NA;"";NA;NA;NA;1;1;0;"10.6";NA;NA;"16";NA;NA;"TL";NA;"0.0213";"3.152";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"4";"Abudefduf_sparoides";"POMACENTRIDAE";"Abudefduf";"sparoides";"Sergent-major à tache ovale";NA;NA;"227";NA;"";NA;NA;NA;1;1;0;"10.6";NA;NA;"16";NA;NA;"TL";NA;"0.0226";"3.132";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"5";"Abudefduf_vaigiensis";"POMACENTRIDAE";"Abudefduf";"vaigiensis";"Sergent-major bagnard";NA;NA;"228";NA;"";NA;NA;NA;1;1;0;"11.7";NA;NA;"20";NA;NA;"TL";NA;"0.0226";"3.132";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"6";"Acanthocybium_solandri";"SCOMBRIDAE";"Acanthocybium";"solandri";"Wahoo ou thazard-bâtard";NA;NA;"719,590";NA;"";NA;NA;NA;1;1;0;"78.8";NA;NA;"250";NA;NA;"TL";NA;NA;NA;NA;NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"7";"Acanthurus_bariene";"ACANTHURIDAE";"Acanthurus";"bariene";"Chirurgien à points noir";NA;NA;"420,50";NA;"Région labiale  blanche, tache scapulaire ronde et noire en arrière de l'oeil (parfois cernée de bleu) à l’ouverture des branchies et juste derrière une bande verticale de couleur brun clair. L'insertion de la nageoire dorsale et anale est bleue sur toute la longueur. La nageoire ventrale est ornée d'un liseré bleu";NA;NA;NA;1;1;0;"29";NA;NA;"50";NA;NA;"TL";NA;"0.028";"2.983";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"8";"Acanthurus_blochii";"ACANTHURIDAE";"Acanthurus";"blochii";"Chirurgien à anneau blanc";NA;NA;"634,51";NA;"Couleur gris bleuté taches brunes jaunâtres qui ont tendance à former des lignes longitudinales irrégulières  -  tête avec des rayures étroites et irrégulières  -  derrière l'œil une tache jaune  -  nageoires pectorales brunes  -  base de la nageoire caudale blanche. bandes verticales sur la zone centrale bleue de la nageoire caudale, nageoire caudale semi-lunaire , et de A. xanthopterus en ayant brun clair à nageoires pectorales bleu-gris ( Ref . 1602 ) . L'anneau blanc autour de la base de la queue varie en intensité et peut parfois être absente ( Ref . 1602) . scalpel noir";NA;NA;NA;1;1;0;"21";NA;NA;"45";NA;NA;"SL";NA;"0.0251";"3.032";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"9";"Acanthurus_dussumieri";"ACANTHURIDAE";"Acanthurus";"dussumieri";"Chirurgien hawaïen";NA;NA;"115,108";NA;"Corps brun pale jaune, ligne irrégulière sur la tête, bande orange entre les yeux qui continue derrière l’œil. Queue bleu en croissant parsemée de points noir. scalpel blanc sur fond d’ocelle noir. Nageoire dorsale et anale jaune et leur extrémité est bleu";NA;NA;NA;1;1;1;"23";NA;NA;"54";NA;NA;"TL";NA;"0.0426";"2.868";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"10";"Acanthurus_leucosternon";"ACANTHURIDAE";"Acanthurus";"leucosternon";"Chirurgien à poitrine blanche";NA;NA;"56";NA;"";NA;NA;NA;1;1;1;"31";NA;NA;"54";NA;NA;"TL";NA;"0.028";"2.983";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"11";"Acanthurus_lineatus";"ACANTHURIDAE";"Acanthurus";"lineatus";"Chirurgien clown, à lignes bleues";NA;NA;"148";NA;"";NA;NA;NA;1;1;0;"15";NA;NA;"38";NA;NA;"TL";NA;"0.028";"2.983";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
