"ID";"RUV_treatment_code";"Field_code";"Analyzed_video_name";"Table_ref";"Species";"First_fish";"Last_fish";"Total_number";"Remark"
"1";1;731;"ES15";"ES15_Left_sd17.R.1.MP4";"RUV_data";"Pseudanthias_squamipinnis";35006;35006;50;""
"2";2;731;"ES15";"ES15_Left_sd17.R.1.MP4";"RUV_data";"Chromis";36021;36021;10;"No Chromis in the wave file"
"3";3;732;"ES15";"ES15_Left_sd17.R.10.MP4";"RUV_data";"Pseudanthias_squamipinnis";35150;35150;100;""
"4";4;732;"ES15";"ES15_Left_sd17.R.10.MP4";"RUV_data";"Pseudanthias";35152;35155;40;""
"5";5;733;"ES15";"ES15_Left_sd17.R.2.MP4";"RUV_data";"Pseudanthias_squamipinnis";35060;35060;150;""
"6";6;733;"ES15";"ES15_Left_sd17.R.2.MP4";"RUV_data";"Chromis";36022;36022;10;"No Chromis in the wave file"
"7";7;734;"ES15";"ES15_Left_sd17.R.3.MP4";"RUV_data";"Pseudanthias_squamipinnis";35067;35067;150;""
"8";8;735;"ES15";"ES15_Left_sd17.R.4.MP4";"RUV_data";"Pseudanthias_squamipinnis";35083;35083;50;""
"9";9;736;"ES15";"ES15_Left_sd17.R.5.MP4";"RUV_data";"Pseudanthias_squamipinnis";35107;35107;150;""
"10";10;737;"ES15";"ES15_Left_sd17.R.6.MP4";"RUV_data";"Pseudanthias_squamipinnis";35112;35122;20;""
"11";11;738;"ES15";"ES15_Left_sd17.R.7.MP4";"RUV_data";"Pseudanthias_squamipinnis";35124;35124;50;""
"12";12;739;"ES15";"ES15_Left_sd17.R.8.MP4";"RUV_data";"Pseudanthias_squamipinnis";35139;35139;20;""
"13";13;739;"ES15";"ES15_Left_sd17.R.8.MP4";"RUV_data";"Pseudanthias";35141;35141;10;""
"14";14;740;"ES15";"ES15_Left_sd17.R.9.MP4";"RUV_data";"Pseudanthias_squamipinnis";35144;35144;60;""
"15";15;740;"ES15";"ES15_Left_sd17.R.9.MP4";"RUV_data";"Pseudanthias";35145;35145;30;""
"16";16;742;"ES17";"ES17_Left_sd7.R.10.MP4";"RUV_data";"Pseudanthias_squamipinnis";30762;30771;20;""
"17";17;742;"ES17";"ES17_Left_sd7.R.10.MP4";"RUV_data";"Chromis_fieldi";30772;30774;10;""
"18";18;743;"ES17";"ES17_Left_sd7.R.2.MP4";"RUV_data";"Pseudanthias_squamipinnis";35351;35357;50;""
"19";19;743;"ES17";"ES17_Left_sd7.R.2.MP4";"RUV_data";"Chromis_fieldi";35350;35350;20;""
"20";20;744;"ES17";"ES17_Left_sd7.R.3.MP4";"RUV_data";"Pseudanthias_squamipinnis";35370;35370;10;""
"21";21;744;"ES17";"ES17_Left_sd7.R.3.MP4";"RUV_data";"Chromis_fieldi";35366;35366;10;""
"22";22;745;"ES17";"ES17_Left_sd7.R.4.MP4";"RUV_data";"Pseudanthias_squamipinnis";35373;35373;10;""
"23";23;745;"ES17";"ES17_Left_sd7.R.4.MP4";"RUV_data";"Chromis_fieldi";30674;35374;10;""
"24";24;746;"ES17";"ES17_Left_sd7.R.5.MP4";"RUV_data";"Pseudanthias_squamipinnis";30684;30689;20;""
"25";25;746;"ES17";"ES17_Left_sd7.R.5.MP4";"RUV_data";"Chromis_fieldi";35392;35392;10;""
"26";26;747;"ES17";"ES17_Left_sd7.R.6.MP4";"RUV_data";"Pseudanthias_squamipinnis";30700;30705;30;""
"27";27;747;"ES17";"ES17_Left_sd7.R.6.MP4";"RUV_data";"Chromis_fieldi";35398;35398;10;""
"28";28;748;"ES17";"ES17_Left_sd7.R.7.MP4";"RUV_data";"Pseudanthias_squamipinnis";30710;30716;20;""
"29";29;748;"ES17";"ES17_Left_sd7.R.7.MP4";"RUV_data";"Chromis_fieldi";30717;30717;10;""
"30";30;749;"ES17";"ES17_Left_sd7.R.8.MP4";"RUV_data";"Pseudanthias_squamipinnis";35419;35419;20;""
"31";31;749;"ES17";"ES17_Left_sd7.R.8.MP4";"RUV_data";"Chromis_fieldi";35416;35416;10;""
"32";32;750;"ES17";"ES17_Left_sd7.R.9.MP4";"RUV_data";"Pseudanthias_squamipinnis";30737;30754;20;""
"33";33;750;"ES17";"ES17_Left_sd7.R.9.MP4";"RUV_data";"Chromis_fieldi";30733;30736;10;""
"34";34;762;"ES2";"ES2_Left_sd14.R.10.MP4";"RUV_data";"Pseudanthias_squamipinnis";36003;36003;30;""
"35";35;762;"ES2";"ES2_Left_sd14.R.10.MP4";"RUV_data";"Chromis_fieldi";29211;29235;20;""
"36";36;762;"ES2";"ES2_Left_sd14.R.10.MP4";"RUV_data";"Chromis";29237;29275;10;""
"37";37;775;"ES2";"ES2_Left_sd14.R.4.MP4";"RUV_data";"Pseudanthias_squamipinnis";29006;29039;30;""
"38";38;775;"ES2";"ES2_Left_sd14.R.4.MP4";"RUV_data";"Chromis_fieldi";29007;29027;20;""
"39";39;775;"ES2";"ES2_Left_sd14.R.4.MP4";"RUV_data";"Chromis";29043;35999;10;""
"40";40;776;"ES2";"ES2_Left_sd14.R.5.MP4";"RUV_data";"Pseudanthias_squamipinnis";36000;36000;30;""
"41";41;776;"ES2";"ES2_Left_sd14.R.5.MP4";"RUV_data";"Chromis_fieldi";29073;29085;20;""
"42";42;776;"ES2";"ES2_Left_sd14.R.5.MP4";"RUV_data";"Chromis";29054;29072;10;""
"43";43;777;"ES2";"ES2_Left_sd14.R.6.MP4";"RUV_data";"Pseudanthias_squamipinnis";29091;29096;30;""
"44";44;777;"ES2";"ES2_Left_sd14.R.6.MP4";"RUV_data";"Chromis_fieldi";29101;29110;20;""
"45";45;777;"ES2";"ES2_Left_sd14.R.6.MP4";"RUV_data";"Chromis";29099;29099;10;""
"46";46;778;"ES2";"ES2_Left_sd14.R.7.MP4";"RUV_data";"Pseudanthias_squamipinnis";29111;29118;30;""
"47";47;778;"ES2";"ES2_Left_sd14.R.7.MP4";"RUV_data";"Chromis_fieldi";29126;29143;20;""
"48";48;778;"ES2";"ES2_Left_sd14.R.7.MP4";"RUV_data";"Chromis";29119;29124;10;""
"49";49;779;"ES2";"ES2_Left_sd14.R.8.MP4";"RUV_data";"Pseudanthias_squamipinnis";29144;29153;30;""
"50";50;779;"ES2";"ES2_Left_sd14.R.8.MP4";"RUV_data";"Chromis_fieldi";36001;36001;20;""
"51";51;779;"ES2";"ES2_Left_sd14.R.8.MP4";"RUV_data";"Chromis";29156;29167;10;""
"52";52;780;"ES2";"ES2_Left_sd14.R.9.MP4";"RUV_data";"Pseudanthias_squamipinnis";36002;36002;30;""
"53";53;780;"ES2";"ES2_Left_sd14.R.9.MP4";"RUV_data";"Chromis_fieldi";29171;29177;20;""
"54";54;780;"ES2";"ES2_Left_sd14.R.9.MP4";"RUV_data";"Chromis";29178;29209;10;""
"55";55;792;"ES22";"ES22_Left_sd9.R.10.MP4";"RUV_data";"Pseudanthias_squamipinnis";35522;35522;70;""
"56";56;792;"ES22";"ES22_Left_sd9.R.10.MP4";"RUV_data";"Chromis_fieldi";35520;35520;20;""
"57";57;792;"ES22";"ES22_Left_sd9.R.10.MP4";"RUV_data";"Chromis";36046;36046;40;""
"58";58;792;"ES22";"ES22_Left_sd9.R.10.MP4";"RUV_data";"Pseudanthias";35521;36029;10;""
"59";59;794;"ES22";"ES22_Left_sd9.R.3.MP4";"RUV_data";"Pseudanthias_squamipinnis";31064;32776;80;""
"60";60;794;"ES22";"ES22_Left_sd9.R.3.MP4";"RUV_data";"Chromis_fieldi";31048;31062;30;""
"61";61;795;"ES22";"ES22_Left_sd9.R.4.MP4";"RUV_data";"Pseudanthias_squamipinnis";31098;31117;80;""
"62";62;795;"ES22";"ES22_Left_sd9.R.4.MP4";"RUV_data";"Chromis_fieldi";36024;36024;30;""
"63";63;795;"ES22";"ES22_Left_sd9.R.4.MP4";"RUV_data";"Chromis";36023;36023;15;""
"64";64;795;"ES22";"ES22_Left_sd9.R.4.MP4";"RUV_data";"Pseudanthias";35498;35498;15;""
"65";65;796;"ES22";"ES22_Left_sd9.R.5.MP4";"RUV_data";"Pseudanthias_squamipinnis";32778;32794;80;""
"66";66;796;"ES22";"ES22_Left_sd9.R.5.MP4";"RUV_data";"Chromis_fieldi";35500;35500;30;""
"67";67;796;"ES22";"ES22_Left_sd9.R.5.MP4";"RUV_data";"Chromis";36025;36025;15;""
"68";68;796;"ES22";"ES22_Left_sd9.R.5.MP4";"RUV_data";"Pseudanthias";36026;36026;15;""
"69";69;797;"ES22";"ES22_Left_sd9.R.6.MP4";"RUV_data";"Pseudanthias_squamipinnis";32795;32822;40;""
"70";70;797;"ES22";"ES22_Left_sd9.R.6.MP4";"RUV_data";"Chromis_fieldi";32823;32841;20;""
"71";71;797;"ES22";"ES22_Left_sd9.R.6.MP4";"RUV_data";"Chromis";32842;32851;40;""
"72";72;797;"ES22";"ES22_Left_sd9.R.6.MP4";"RUV_data";"Pseudanthias";36027;36027;20;""
"73";73;798;"ES22";"ES22_Left_sd9.R.7.MP4";"RUV_data";"Pseudanthias_squamipinnis";35505;35505;80;""
"74";74;798;"ES22";"ES22_Left_sd9.R.7.MP4";"RUV_data";"Chromis_fieldi";35504;35504;20;""
"75";75;798;"ES22";"ES22_Left_sd9.R.7.MP4";"RUV_data";"Chromis";35506;35506;40;""
"76";76;798;"ES22";"ES22_Left_sd9.R.7.MP4";"RUV_data";"Pseudanthias";36028;36028;20;""
"77";77;799;"ES22";"ES22_Left_sd9.R.8.MP4";"RUV_data";"Pseudanthias_squamipinnis";35509;35509;80;""
"78";78;799;"ES22";"ES22_Left_sd9.R.8.MP4";"RUV_data";"Chromis_fieldi";35508;35508;20;""
"79";79;799;"ES22";"ES22_Left_sd9.R.8.MP4";"RUV_data";"Chromis";35510;35511;40;""
"80";80;800;"ES22";"ES22_Left_sd9.R.9.MP4";"RUV_data";"Pseudanthias_squamipinnis";35516;35516;50;""
"81";81;800;"ES22";"ES22_Left_sd9.R.9.MP4";"RUV_data";"Chromis_fieldi";35514;35514;10;""
"82";82;800;"ES22";"ES22_Left_sd9.R.9.MP4";"RUV_data";"Chromis";35517;35517;40;""
"83";83;829;"ES31";"ES31_Left_sd22.R.1.MP4";"RUV_data";"Chromis_pembae";35531;35531;30;""
"84";84;829;"ES31";"ES31_Left_sd22.R.1.MP4";"RUV_data";"Chromis";35535;35535;20;""
"85";85;830;"ES31";"ES31_Left_sd22.R.10.MP4";"RUV_data";"Chromis_pembae";35630;35630;10;""
"86";86;830;"ES31";"ES31_Left_sd22.R.10.MP4";"RUV_data";"Acanthurus_thompsoni";35627;35627;10;""
"87";87;830;"ES31";"ES31_Left_sd22.R.10.MP4";"RUV_data";"Chromis_fieldi";35624;35624;10;""
"88";88;831;"ES31";"ES31_Left_sd22.R.2.MP4";"RUV_data";"Chromis_fieldi";35540;35540;30;""
"89";89;831;"ES31";"ES31_Left_sd22.R.2.MP4";"RUV_data";"Chromis";35542;35542;20;""
