"X.Sampling_code";"Field_code";"Technique";"Substrat_type";"Topography";"Complexity";"Community";"Coral_biota";"Sponge";"Non_scleratinian_coral";"Scleratinian_coral";"Fish_diversity";"Fish_abundance";"Remarks"
"1";"MAEURUV001";"ES1";"RUV";"hard";"2";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";NA;NA;NA
"2";"MAEURUV002";"ES2";"RUV";"hard";"2";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";NA;NA;NA
"3";"MAEURUV003";"ES3";"RUV";"hard";"2";"3";"coral";"scleratinian_plurispecific";"0";"1";"3";NA;NA;NA
"4";"MAEURUV006";"ES6";"RUV";"hard";"2";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";NA;NA;NA
"5";"MAEURUV007";"ES7";"RUV";"hard";"2";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";NA;NA;NA
"6";"MAEURUV008";"ES8";"RUV";"hard";"2";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";NA;NA;NA
"7";"MAEURUV009";"ES9";"RUV";"hard";"3";"2";"coral";"scleratinian_plurispecific";"0";"1";"3";NA;NA;NA
"8";"MAEURUV011";"ES11";"RUV";"mix";"1";"1";"mixed";"other";"0";"1";"1";NA;NA;NA
"9";"MAEURUV012";"ES12";"RUV";"soft";"1";"1";"pebbled_sediment";"other";"0";"1";"0";NA;NA;NA
"10";"MAEURUV015";"ES15";"RUV";"soft";"0";"1";"pebbled_sediment";"other";"0";"0";"1";NA;NA;NA
"11";"MAEURUV017";"ES17";"RUV";"hard";"1";"1";"coral";"scleratinian_plurispecific";"0";"1";"2";NA;NA;NA
"12";"MAEURUV018";"ES18";"RUV";"hard";"2";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";NA;NA;NA
"13";"MAEURUV019";"ES19";"RUV";"hard";"2";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";NA;NA;NA
"14";"MAEURUV020";"ES20";"RUV";"hard";"2";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";NA;NA;NA
"15";"MAEURUV022";"ES22";"RUV";"hard";"1";"2";"coral";"scleratinian_plurispecific";"0";"0";"2";NA;NA;NA
"16";"MAEURUV029";"ES29";"RUV";"hard";"2";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";NA;NA;NA
"17";"MAEURUV030";"ES30";"RUV";"hard";"2";"3";"coral";"scleratinian_plurispecific";"0";"1";"3";NA;NA;NA
"18";"MAEURUV031";"ES31";"RUV";"hard";"3";"2";"mixed";"mix_anthozoan";"0";"1";"2";NA;NA;NA
"19";"MAEURUV032";"ES32";"RUV";"hard";"1";"2";"mixed";"mix_anthozoan";"0";"2";"1";NA;NA;NA
"20";"MAEURUV034";"ES34";"RUV";"hard";"1";"2";"coral";"scleratinian_plurispecific";"0";"0";"2";NA;NA;NA
"21";"MAEURUV035";"ES35";"RUV";"hard";"2";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";NA;NA;NA
"22";"MAEURUV036";"ES36";"RUV";"hard";"1";"2";"mixed";"other";"0";"2";"1";NA;NA;NA
"23";"MAEURUV037";"ES37";"RUV";"hard";"1";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";NA;NA;NA
"24";"MAEURUV038";"ES38";"RUV";"hard";"1";"2";"coral";"scleratinian_plurispecific";"0";"0";"2";NA;NA;NA
"25";"MAEURUV039";"ES39";"RUV";"hard";"2";"3";"coral";"scleratinian_plurispecific";"0";"0";"3";NA;NA;NA
"26";"MAEURUV040";"ES40";"RUV";"hard";"2";"2";"coral";"scleratinian_plurispecific";"0";"1";"3";NA;NA;NA
"27";"MAEURUV041";"ES41";"RUV";"hard";"1";"2";"coral";"scleratinian_plurispecific";"0";"0";"2";NA;NA;NA
"28";"MAEURUV042";"ES42";"RUV";"hard";"1";"2";"mixed";"mix_anthozoan";"0";"1";"1";NA;NA;NA
"29";"MAEURUV043";"ES43";"RUV";"hard";"1";"2";"mixed";"mix_anthozoan";"0";"1";"1";NA;NA;NA
"30";"MAJURUV025";"JNS25";"RUV";"mix";"0";"2";"mixed";"mix_anthozoan";"0";"0";"2";NA;NA;NA
"31";"MAJURUV026";"JNS26";"RUV";"hard";"0";"1";"mixed";"mix_anthozoan";"0";"2";"1";NA;NA;NA
"32";"MAJURUV027";"JNS27";"RUV";"mix";"1";"0";"pebbled_sediment";"other";"0";"0";"1";NA;NA;NA
"33";"MAJURUV028";"JNS28";"RUV";"hard";"1";"2";"mixed";"other";"0";"2";"1";NA;NA;NA
"34";"MAJURUV029";"JNS29";"RUV";"hard";"2";"2";"coral";"scleratinian_plurispecific";"0";"0";"3";NA;NA;NA
"35";"MAJURUV030";"JNS30";"RUV";"hard";"1";"1";"mixed";"other";"0";"1";"1";NA;NA;NA
"36";"MAJURUV031";"JNS31";"RUV";"hard";"1";"2";"coral";"mix_anthozoan";"0";"2";"1";NA;NA;NA
"37";"MAJURUV032";"JNS32";"RUV";"mix";"1";"2";"mixed";"mix_anthozoan";"0";"2";"1";NA;NA;NA
"38";"MAJURUV033";"JNS33";"RUV";"hard";"1";"2";"mixed";"mix_anthozoan";"0";"2";"1";NA;NA;NA
"39";"MAJURUV034";"JNS34";"RUV";"hard";"1";"2";"coral";"scleratinian_plurispecific";"0";"0";"2";NA;NA;NA
"40";"MA_CMB_025";"M25";"rosette";"hard";"0";"3";"coral";NA;NA;NA;NA;"2";"3";"Corail dur avec de la mortalité"
"41";"MA_CMB_026";"M26";"rosette";"hard";"1";"3";"coral";NA;NA;NA;NA;"3";"3";"Corail dur recouvrement 100%. diversité et abondance ++"
"42";"MA_CMB_027";"M27";"rosette";"hard";"1";"3";"coral";NA;NA;NA;NA;"2";"3";"Beaucoup de coraux tabulaires"
"43";"MA_CMB_028";"M28";"rosette";"soft";"1";"1";"pebbled_sediment";NA;NA;NA;NA;"0";"0";"Nombreux débris de corail mort. pas de poissons"
"44";"MA_CMB_029";"M29";"rosette";"soft";"1";"1";"pebbled_sediment";NA;NA;NA;NA;"1";"1";"Fonds sableux avec débris. très peu de poissons"
"45";"MA_CMB_030";"M30";"rosette";"hard";"4";"2";NA;NA;NA;NA;NA;"1";"1";"Tombant vertical nu. présence de grottes mais pas de poissons. le tombant descend encore à la verticale en dessous"
"46";"MA_CTJ_063";"M63";"rosette";"hard";"0";"3";"coral";NA;NA;NA;NA;"3";"3";"Corail dur. poissons avec diversité et abondance ++"
"47";"MA_CTJ_064";"M64";"rosette";"hard";"3";"3";"coral";NA;NA;NA;NA;"2";"3";"Tombant abrupte. corail dur et algues. bancs de carangues bleues et chirurgiens longent le tombant. Caméra bloquée contre le tombant à la remontée"
"48";"MA_CTJ_065";"M65";"rosette";"soft";"1";"1";"pebbled_sediment";NA;NA;NA;NA;"1";"2";"Limite avant le début d'un tombant vertical. peu de vie"
"49";"MA_CTJ_066";"M66";"rosette";"soft";"1";"1";"pebbled_sediment";NA;NA;NA;NA;"1";"1";"Faible luminosité. un poisson aperçu. un requin marteau qui vient suivre le dispositif"
"50";"MA_DJO_044";"M44";"rosette";"hard";"2";"3";"coral";NA;NA;NA;NA;"2";"3";"Très riches en poissons. chirurgiens etc.. pente relativement douce d'apparence"
"51";"MA_DJO_045";"M45";"rosette";"mix";"2";"2";"mixed";NA;NA;NA;NA;"1";"3";"Présence de petits poissons essentiellement"
"52";"MA_DJO_046";"M46";"rosette";"soft";"0";"0";"bare_sediment";NA;NA;NA;NA;"1";"2";"Présence de poissons durant le début de la remontée du dispositif"
"53";"MA_DJO_047";"M47";"rosette";"mix";"3";"1";"mixed";NA;NA;NA;NA;"0";"0";"Zone très sombre. pas mal de débris"
"54";"MA_GMO_040";"M40";"rosette";"hard";"2";"3";"coral";NA;NA;NA;NA;"2";"3";"Gros bancs de chirurgiens de différentes espèces. perroquets"
"55";"MA_GMO_041";"M41";"rosette";"mix";"1";"2";"mixed";NA;NA;NA;NA;"2";"3";"Au pied du tombant limite plaine sableuse/tombant corail dur. Assez poissonneux (chirurgiens. carangues)"
"56";"MA_GMO_042";"M42";"rosette";"mix";"4";"3";"mixed";NA;NA;NA;NA;"2";"3";"Mauvaise visibilité. présence de grottes. au niveau d'une marche. gorgones au niveau du haut de la marche"
"57";"MA_GMO_043";"M43";"rosette";"soft";"0";"0";"pebbled_sediment";NA;NA;NA;NA;"1";"1";"Pas de construction coralienne. très peu de poissons"
"58";"MA_GMO_130";"R8.4";"RUV";"hard";"1";"1";"mixed";"other";"1";"0";"0";"";"";NA
"59";"MA_GMO_131";"R8.3";"RUV";"mix";"2";"2";"mixed";"other";"1";"2";"1";"";"";NA
"60";"MA_GMO_132";"R8.2";"RUV";"mix";"3";"3";"mixed";"scleratinian_plurispecific";"0";"1";"2";"";"";"Bas de tombant"
"61";"MA_GMO_133";"R8.1";"RUV";"hard";"3";"3";"mixed";"other";"0";"1";"0";"";"";"Présence de turf"
"62";"MA_GMO_152";"R8.5";"RUV";"mix";"0";"1";"algae";"other";"0";"0";"0";"";"";NA
"63";"MA_GMO_153";"R8.6";"RUV";"mix";"2";"3";"mixed";"other";"1";"1";"1";"";"";NA
"64";"MA_GMO_154";"R8.7";"RUV";"hard";"3";"3";"mixed";"scleratinian_monospecific";"0";"0";"2";"";"";"Bas de tombant"
"65";"MA_GMO_155";"R8.8";"RUV";"hard";"2";"3";"algae";"other";"0";"1";"0";"";"";"Présence de turf"
"66";"MA_GMO_169";"R8.12";"RUV";"hard";"2";"3";"algae";"other";"0";"0";"1";"";"";"Présence de turf"
"67";"MA_GMO_170";"R8.11";"RUV";"mix";"2";"3";"mixed";"other";"0";"1";"1";"";"";"Présence d'algues"
"68";"MA_GMO_171";"R8.10";"RUV";"mix";"2";"2";"mixed";"other";"1";"2";"1";"";"";"Présence d'algues"
"69";"MA_GMO_172";"R8.9";"RUV";"soft";"1";"1";"algae";"other";"1";"0";"0";"";"";NA
"70";"MA_GMO_199";"R8.13";"RUV";"hard";"1";"3";"algae";"other";"0";"1";"0";"";"";"Présence de turf"
"71";"MA_GMO_200";"R8.14";"RUV";"hard";"";"";"";"";"";"";"";"";"";"Présence d'algues, pas bon angle de vue pour décrire l'habitat"
"72";"MA_GMO_201";"R8.15";"RUV";"mix";"1";"2";"mixed";"other";"0";"2";"1";"";"";"Présence d'algues"
"73";"MA_GMO_202";"R8.16";"RUV";"soft";"1";"2";"algae";"other";"0";"1";"0";"";"";NA
"74";"MA_JOS_058";"M58";"rosette";"hard";"0";"3";"coral";NA;NA;NA;NA;"3";"3";"Corail dur vivant. poissons avec diversité et abondance ++. Pas d'espèces commerciales"
"75";"MA_JOS_059";"M59";"rosette";"mix";"1";"2";"mixed";NA;NA;NA;NA;"1";"2";"Corail dur/sable. peu de poissons"
"76";"MA_JOS_060";"M60";"rosette";"mix";"0";"2";"mixed";NA;NA;NA;NA;"3";"3";"Corail dur/sable. beaucoup de poissons et haute diversité (Chirurgiens. balistes. carangue)"
"77";"MA_JOS_061";"M61";"rosette";"soft";"0";"0";"bare_sediment";NA;NA;NA;NA;"1";"1";"Fond sableux. très pauvre (une carangue)"
"78";"MA_JOS_062";"M62";"rosette";"soft";"1";"1";"pebbled_sediment";NA;NA;NA;NA;"1";"2";"Fond sableux/débris. quelques chirurgiens. faible luminosité"
"79";"MA_JOS_096";"R12.1";"RUV";"soft";"0";"0";"bare_sediment";"other";"0";"0";"0";"";"";"Plaine de sable"
"80";"MA_JOS_097";"R12.2";"RUV";"hard";"2";"3";"algae";"other";"0";"0";"0";"";"";NA
"81";"MA_JOS_098";"R12.3";"RUV";"hard";"3";"3";"algae";"other";"0";"1";"0";"";"";"Glog n'a pas fonctionné"
"82";"MA_JOS_099";"R12.4";"RUV";"soft";"0";"1";"pebbled_sediment";"other";"1";"1";"0";"";"";NA
"83";"MA_JOS_122";"R12.5";"RUV";"hard";"3";"3";"algae";"other";"0";"0";"0";"";"";NA
"84";"MA_JOS_123";"R12.6";"RUV";"hard";"3";"3";"algae";"other";"0";"0";"0";"";"";NA
"85";"MA_JOS_124";"R12.7";"RUV";"mix";"2";"2";"mixed";"other";"1";"1";"0";"";"";NA
"86";"MA_JOS_125";"R12.8";"RUV";"";"";"";"";"";"";"";"";"";"";NA
"87";"MA_JOS_156";"R12.9";"RUV";"hard";"1";"3";"algae";"other";"0";"0";"1";"";"";"Présence de turf"
"88";"MA_JOS_157";"R12.10";"RUV";"hard";"2";"3";"algae";"other";"0";"1";"0";"";"";"Présence de turf"
"89";"MA_JOS_158";"R12.11";"RUV";"soft";"1";"1";"mixed";"non_scleratinian";"1";"2";"0";"";"";"Présence d'algues"
"90";"MA_JOS_159";"R12.12";"RUV";"soft";"0";"0";"pebbled_sediment";"other";"1";"0";"0";"";"";"Bas de tombant face a n mur"
"91";"MA_JOS_173";"R12.13";"RUV";"hard";"2";"3";"algae";"other";"0";"0";"1";"";"";"Présence de turf"
"92";"MA_JOS_174";"R12.14";"RUV";"mix";"1";"2";"mixed";"other";"0";"0";"0";"";"";NA
"93";"MA_JOS_175";"R12.15";"RUV";"mix";"1";"2";"mixed";"other";"1";"1";"0";"";"";"Présence d'algues"
"94";"MA_JOS_176";"R12.16";"RUV";"soft";"1";"1";"algae";"other";"0";"1";"0";"";"";NA
"95";"MA_JOS_195";"R12.20";"RUV";"hard";"3";"3";"algae";"other";"0";"1";"0";"";"";"Présence de turf"
"96";"MA_JOS_196";"R12.19";"RUV";"hard";"2";"3";"algae";"other";"0";"0";"1";"";"";NA
"97";"MA_JOS_197";"R12.18";"RUV";"soft";"0";"1";"mixed";"other";"1";"1";"0";"";"";"Présence d'algues"
"98";"MA_JOS_198";"R12.17";"RUV";"soft";"0";"1";"pebbled_sediment";"other";"0";"0";"0";"";"";"Présence de quelques algues"
"99";"MA_MDZ_053";"M53";"rosette";"hard";"3";"3";"coral";NA;NA;NA;NA;"3";"3";"Juste sur une pente. zone riche en poissons"
"100";"MA_MDZ_054";"M54";"rosette";"hard";"3";"3";"coral";NA;NA;NA;NA;"3";"3";"Sur une pente. zone riche en poissons"
"101";"MA_MDZ_055";"M55";"rosette";"mix";"0";"1";"mixed";NA;NA;NA;NA;"1";"2";"Plaine sableuse/peu de corail dur. peu de poissons (4 carangues)"
"102";"MA_MDZ_056";"M56";"rosette";"soft";"4";"1";"coral";NA;NA;NA;NA;"1";"1";"Substrat meuble au pied d'un tombant vertical"
"103";"MA_MDZ_057";"M57";"rosette";"soft";"2";"1";"pebbled_sediment";NA;NA;NA;NA;"1";"1";"Substrat meuble. pas de corail et peu de vie"
"104";"MA_MFO2_012";"M12";"rosette";"hard";"2";"3";"coral";NA;NA;NA;NA;"2";"3";"Zone juste avant le tombant. présence de banc de fusiliers. possiblement pas mal de diversité mais on reste trop peu au fond"
"105";"MA_MFO2_013";"M13";"rosette";"hard";"3";"3";"coral";NA;NA;NA;NA;"2";"3";"Présence de banc de fusiliers. juste avant un grand tombant et en pente"
"106";"MA_MFO2_014";"M14";"rosette";"mix";"0";"1";"pebbled_sediment";NA;NA;NA;NA;"1";"1";"Présence d'un baracuda. bas juste après un tombant où l'habitat est plus complexe. peu de visibilité"
"107";"MA_MFO2_015";"M15";"rosette";"soft";"0";"0";"bare_sediment";NA;NA;NA;NA;"0";"0";NA
"108";"MA_MFO2_016";"M16";"rosette";"mix";"2";"2";"mixed";NA;NA;NA;NA;"2";"3";"Présence bancs de beaucpup de fusiliers et balistes bleus (moins). présence de petites gorgones"
"109";"MA_MFO2_017";"M17";"rosette";"mix";"4";"1";"mixed";NA;NA;NA;NA;"1";"1";"Tomber en bas d'un mur avec de nombreuses gorgones. présence de poissons durant la remontée du dispositif. bon endroit mais plus haut"
"110";"MA_MFO2_018";"M18";"rosette";"mix";"1";"2";"mixed";NA;NA;NA;NA;"2";"3";"Tomber juste à côté d'une espèce de patate. présence de petits poissons et de fusiliers. plaine de sable avec présence de petites patates et de monticules"
