"X.sampling_code";"field_code";"temperature";"depth";"apparatus_measurement";"logger_file";"Current_measure";"sync_type";"time_in";"time_out";"video_storage";"type_RUV";"stereo_system";"camera";"camera_setting";"L_housing";"L_camera";"L_SD";"L_video_names";"L_time_begin";"L_video_numb_begin";"L_time_end";"L_video_numb_end";"L_usable_duration";"R_housing";"R_camera";"R_SD";"R_video_names";"R_time_begin";"R_video_numb_begin";"R_time_end";"R_video_numb_end";"R_usable_duration";"calibration";"video_check";"remarks"
"1";"MAEULONG001";"long1";NA;NA;"NA";"NA";"NA";"NA";"10:00:00";"15:50:00";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FEuropa_avril_2019%252Flong1%252F";"mono_dual";"NA";"gopro_hero5";"1080_L_25fps";"NA";"NA";"L";"GOPR0091.MP4";"00:13:08";2;"00:14:52";8;"01:47:48";"NA";"NA";"R";"GOPR0114.MP4";"00:11:54";2;"00:14:51";21;"05:38:52";"NA";"pas des masses de poissons";"une des caméra n'a filmé qu'une petite fraction du temps"
"2";"MAEULONG002";"long2";NA;NA;"NA";"NA";"NA";"NA";"09:48:00";"16:00:00";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FEuropa_avril_2019%252Flong2%252F";"mono_dual";"NA";"gopro_hero5";"1080_L_25fps";"NA";"NA";"L";"GOPR0092.MP4";"00:03:56";2;"00:00:12";9;"02:00:03";"NA";"NA";"R";"GOPR0115.MP4";"00:03:52";2;"00:12:58";8;"01:55:03";"NA";"très poissonneux avec beaucoup de Ludjanus bohar au départ";"les deux caméras n'ont filmé qu'une petite fraction du temps"
"3";"MAEULONG004";"long4";NA;NA;"NA";"NA";"NA";"NA";"10:00:00";"16:00:00";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FEuropa_avril_2019%252FLong4%252F";"mono_dual";"NA";"gopro_hero5";"1080_L_25fps";"NA";"NA";"L";"GOPR0094.MP4";"00:07:10";2;"00:15:27";21;"05:44:12";"NA";"NA";"R";"GOPR0118.MP4";"00:12:15";2;"00:15:57";21;"05:39:37";"NA";"paysage bien visible sur L et R mais peu de poissons";"quadrat et ligne 5m passé devant. Quadrat de R pas visible"
"4";"MAEULONG005";"long5";NA;NA;"NA";"NA";"NA";"NA";"09:30:00";"15:30:00";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FEuropa_avril_2019%252Flong5%252F";"mono_dual";"NA";"gopro_hero5";"1080_L_25fps";"NA";"NA";"L";"GOPR0095.MP4";"00:11:28";1;"00:08:47";22;"06:08:36";"NA";"NA";"R";"GOPR0119.MP4";"00:10:33";1;"00:07:45";22;"06:08:29";"NA";"paysage bien visible mais peu de poissons";"calibration que distance en fin de journée sur la dernière vidéo, les deux caméra ont filmés toute la journée"
"5";"MAEURUV001";"ES1";NA;NA;"NA";"NA";"NA";"clap_and_flash";"14:11:00";"15:29:00";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FEuropa_avril_2019%252FES1%252F";"stereo";"6";"gopro_hero3";"1080_M_30fps";"17_S";"10";"13";"GOPR0882.MP4";"00:00:56";1;"00:25:36";3;"01:17:00";"13_S";"13";"16";"GOPR0434.MP4";"00:00:53";1;"00:25:35";3;"01:17:00";"YT_CAL_030";"gopro010434 merou à 18min, ludjan à 11:00 et 21:00, gopro20434 requin pointe noire à 20:50";NA
"6";"MAEURUV002";"ES2";NA;NA;"NA";"NA";"NA";"clap";"14:20:00";"15:35:00";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FEuropa_avril_2019%252FES2%252F";"stereo";"5";"gopro_hero3";"1080_M_30fps";"5_S";"11";"14";"GOPR0045.MP4";"00:01:10";1;"00:23:54";3;"01:15:00";"9_S";"12";"15";"GOPR0595.MP4";"00:01:12";1;"00:23:55";3;"01:15:00";"YT_CAL_029";"belle video";"clignoteur pas allumé"
"7";"MAEURUV003";"ES3";28.6;26.4;"glog_logger";"systeme_1_08.04.2019.CSV";"NA";"clap_and_flash";"14:29:00";"15:40:00";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FEuropa_avril_2019%252FES3%252F";"stereo";"1";"gopro_hero4";"1080_M_30fps";"1_S";"14";"1";"GOPR0273.MP4";"00:01:48";1;"00:01:01";5;"01:10:00";"2_S";"9";"2";"GOPR0050.MP4";"00:01:42";1;"00:00:57";5;"01:10:00";"YT_CAL_025";"exploitable mais pattate devant et video bouge";NA
"8";"MAEURUV004";"ES4";25.8;60.2;"glog_logger";"systeme_4_08.04.2019.CSV";"NA";"clap_and_flash";"14:48:00";"15:20:00";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FEuropa_avril_2019%252FES4%252F";"stereo";"4";"gopro_hero4";"1080_M_30fps";"6_D";"8";"7";"GOPR0563.MP4";"00:01:36";1;"00:02:31";1;"00:00:55";"3_D";"5";"8";"GOPR0048.MP4";"00:01:36";1;"00:02:36";1;"00:01:00";"YT_CAL_013";"caméra accroché sur tombant, pointe vers le haut et partiellement obstrué par corail puis se décroche";"boué en train de coulé a cause courant donc relevé"
"9";"MAEURUV005";"ES5";25.2;76.6;"glog_logger";"systeme_2_08.04.2019.CSV";"NA";"clap_and_flash";"15:00:00";"15:15:00";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FEuropa_avril_2019%252FES5%252F";"stereo";"2";"gopro_hero4";"1080_M_30fps";"2_D";"6";"3";"GOPR0001.MP4";"00:01:53";1;"00:02:51";1;"00:00:59";"1_D";"2";"4";"GOPR0030.MP4";"00:01:51";1;"00:02:50";1;"00:00:59";"YT_CAL_026";"court mais bien, après longe le tombant";"boué en train de coulé a cause courant donc relevé"
"10";"MAEURUV006";"ES6";28.5;25.3;"glog_logger";"systeme_1_09.04.2019.CSV";"NA";"clap_and_flash";"10:10:00";"11:50:00";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FEuropa_avril_2019%252FES6%252F";"stereo";"1";"gopro_hero4";"1080_M_30fps";"1_S";"14";"1";"GOPR0274.MP4";NA;NA;NA;NA;"01:38:55";"2_S";"9";"2";"GOPR0051.MP4";NA;NA;NA;NA;"01:38:57";"YT_CAL_025";"pointe un peu vers le haut";NA
