"RUV_treatment_code";"Sampling_code";"Field_code";"Video_code";"Treatment_type";"Analyzed_video_name";"Analyzed_video_nameR_stereo";"Video_code_R";"Video_cropping";"Original_video_name";"Start_cropping_time";"Cropped_duration";"Time_start_since_drop";"Time_stop_since_drop";"File_data";"Folder_file_data"
"1";1;"MA_MHA_084";"C10";25;"webfish";"videoC10-1.MP4";NA;NA;"yes";"GOPR0090.MP4";"00:06:24";"00:01:00";"00:06:24";"00:07:24";"webfish_mongoDB";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FAnalyse_video_MAPOR%252FAnalyse_Webfish%252F"
"2";2;"MA_MHA_084";"C10";26;"webfish";"videoC10-2.MP4";NA;NA;"yes";"GP010090.MP4";"00:06:22";"00:01:00";"00:24:05";"00:25:05";"webfish_mongoDB";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FAnalyse_video_MAPOR%252FAnalyse_Webfish%252F"
"3";3;"MA_MHA_084";"C10";28;"webfish";"videoC10-3.MP4";NA;NA;"yes";"GP030090.MP4";"00:01:11";"00:01:00";"00:54:21";"00:55:21";"webfish_mongoDB";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FAnalyse_video_MAPOR%252FAnalyse_Webfish%252F"
"4";4;"MA_MHA_084";"C10";31;"webfish";"videoC10-4.MP4";NA;NA;"yes";"GP060090.MP4";"00:09:46";"00:01:00";"01:56:04";"01:57:04";"webfish_mongoDB";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FAnalyse_video_MAPOR%252FAnalyse_Webfish%252F"
"5";5;"MA_MHA_084";"C10";27;"webfish";"videoC10-5.MP4";NA;NA;"yes";"GP020090.MP4";"00:16:30";"00:01:00";"00:51:57";"00:52:57";"webfish_mongoDB";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FAnalyse_video_MAPOR%252FAnalyse_Webfish%252F"
"6";6;"MA_MHA_085";"C11";44;"webfish";"videoC11-1.MP4";NA;NA;"yes";"GP029960.MP4";"00:15:18";"00:01:00";"00:50:44";"00:51:44";"webfish_mongoDB";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FAnalyse_video_MAPOR%252FAnalyse_Webfish%252F"
"7";7;"MA_MHA_085";"C11";45;"webfish";"videoC11-2.MP4";NA;NA;"yes";"GP039960.MP4";"00:10:10";"00:01:00";"01:03:19";"01:04:19";"webfish_mongoDB";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FAnalyse_video_MAPOR%252FAnalyse_Webfish%252F"
"8";8;"MA_MHA_085";"C11";49;"webfish";"videoC11-3.MP4";NA;NA;"yes";"GP079960.MP4";"00:13:17";"00:01:00";"02:17:18";"02:18:18";"webfish_mongoDB";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FAnalyse_video_MAPOR%252FAnalyse_Webfish%252F"
"9";9;"MA_MHA_085";"C11";44;"webfish";"videoC11-4.MP4";NA;NA;"yes";"GP029960.MP4";"00:04:43";"00:01:00";"00:40:10";"00:41:10";"webfish_mongoDB";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FAnalyse_video_MAPOR%252FAnalyse_Webfish%252F"
"10";10;"MA_MHA_085";"C11";42;"webfish";"videoC11-5.MP4";NA;NA;"yes";"GOPR9960.MP4";"00:05:20";"00:01:00";"00:05:20";"00:06:20";"webfish_mongoDB";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FAnalyse_video_MAPOR%252FAnalyse_Webfish%252F"
"11";11;"MA_MHA_086";"C12";60;"webfish";"videoC12-1.MP4";NA;NA;"yes";"GP020220.MP4";"00:10:29";"00:01:00";"00:45:55";"00:46:55";"webfish_mongoDB";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FAnalyse_video_MAPOR%252FAnalyse_Webfish%252F"
"12";12;"MA_MHA_086";"C12";60;"webfish";"videoC12-2.MP4";NA;NA;"yes";"GP020220.MP4";"00:17:21";"00:01:00";"00:52:47";"00:53:47";"webfish_mongoDB";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FAnalyse_video_MAPOR%252FAnalyse_Webfish%252F"
"13";13;"MA_MHA_086";"C12";58;"webfish";"videoC12-3.MP4";NA;NA;"yes";"GOPR0220.MP4";"00:16:50";"00:01:00";"00:16:50";"00:17:50";"webfish_mongoDB";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FAnalyse_video_MAPOR%252FAnalyse_Webfish%252F"
"14";14;"MA_MHA_086";"C12";60;"webfish";"videoC12-4.MP4";NA;NA;"yes";"GP020220.MP4";"00:06:09";"00:01:00";"00:41:35";"00:42:35";"webfish_mongoDB";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FAnalyse_video_MAPOR%252FAnalyse_Webfish%252F"
"15";15;"MA_MHA_086";"C12";63;"webfish";"videoC12-5.MP4";NA;NA;"yes";"GP050220.MP4";"00:09:55";"00:01:00";"01:38:31";"01:39:31";"webfish_mongoDB";"http://193.54.33.107:5000/index.cgi?launchApp=SYNO.SDS.App.FileStation3.Instance&launchParam=openfile%3D%252Fhome%252FAnalyse_video_MAPOR%252FAnalyse_Webfish%252F"
