"Video_code";"Sampling_code";"field_code";"Video_side";"Video_numbers";"Video_name";"Video_length";"Video_sequence_number";"Water_touch_time";"Camera_landing_time";"Usable_time";"Interesting_event";"Remark"
"1";1;"MA_MHA_075";"C1";"Right";8;"GOPR0008.MP4";"00:17:43";1;"00:00:00";"00:00:00";"00:00:00";"";""
"2";2;"MA_MHA_075";"C1";"Right";8;"GP010008.MP4";"00:17:43";2;"00:00:00";"00:00:00";"00:00:00";"";""
"3";3;"MA_MHA_075";"C1";"Right";8;"GP020008.MP4";"00:17:43";3;"00:00:00";"00:00:00";"00:00:00";"";""
"4";4;"MA_MHA_075";"C1";"Right";8;"GP030008.MP4";"00:17:43";4;"00:00:00";"00:00:00";"00:00:00";"";""
"5";5;"MA_MHA_075";"C1";"Right";8;"GP040008.MP4";"00:17:43";5;"00:00:00";"00:00:00";"00:00:00";"";""
"6";6;"MA_MHA_075";"C1";"Right";8;"GP050008.MP4";"00:17:43";6;"00:00:00";"00:00:00";"00:00:00";"";""
"7";7;"MA_MHA_075";"C1";"Right";8;"GP060008.MP4";"00:17:43";7;"00:00:00";"00:00:00";"00:00:00";"";""
"8";8;"MA_MHA_075";"C1";"Right";8;"GP070008.MP4";"00:05:54";8;"00:00:00";"00:00:00";"00:00:00";"";""
"9";9;"MA_MHA_075";"C1";"Left";8;"GOPR0008.MP4";"00:17:43";1;"00:00:00";"00:00:00";"00:00:00";"";""
"10";10;"MA_MHA_075";"C1";"Left";8;"GP010008.MP4";"00:17:43";2;"00:00:00";"00:00:00";"00:00:00";"";""
"11";11;"MA_MHA_075";"C1";"Left";8;"GP020008.MP4";"00:17:43";3;"00:00:00";"00:00:00";"00:00:00";"";""
"12";12;"MA_MHA_075";"C1";"Left";8;"GP030008.MP4";"00:17:43";4;"00:00:00";"00:00:00";"00:00:00";"";""
"13";13;"MA_MHA_075";"C1";"Left";8;"GP040008.MP4";"00:17:43";5;"00:00:00";"00:00:00";"00:00:00";"";""
"14";14;"MA_MHA_075";"C1";"Left";8;"GP050008.MP4";"00:17:43";6;"00:00:00";"00:00:00";"00:00:00";"";""
"15";15;"MA_MHA_075";"C1";"Left";8;"GP060008.MP4";"00:17:43";7;"00:00:00";"00:00:00";"00:00:00";"";""
"16";16;"MA_MHA_075";"C1";"Left";8;"GP070008.MP4";"00:05:54";8;"00:00:00";"00:00:00";"00:00:00";"";""
"17";17;"MA_MHA_084";"C10";"Right";8;"GOPR0013.MP4";"00:17:37";1;"00:00:20";"00:01:05";"00:16:32";"";""
"18";18;"MA_MHA_084";"C10";"Right";8;"GP010013.MP4";"00:17:43";2;"00:00:00";"00:00:00";"00:17:43";"";"Un gros vivaneau job "
"19";19;"MA_MHA_084";"C10";"Right";8;"GP020013.MP4";"00:17:43";3;"00:00:00";"00:00:00";"00:17:43";"";""
"20";20;"MA_MHA_084";"C10";"Right";8;"GP030019.MP4";"00:17:43";4;"00:00:00";"00:00:00";"00:17:43";"Trois grosses carangues ignobilis ";"Un variola albimarginata "
"21";21;"MA_MHA_084";"C10";"Right";8;"GP040013.MP4";"00:17:43";5;"00:00:00";"00:00:00";"00:17:43";"Un gros m";""
"22";22;"MA_MHA_084";"C10";"Right";8;"GP050013.MP4";"00:17:43";6;"00:00:00";"00:00:00";"00:17:43";"";""
"23";23;"MA_MHA_084";"C10";"Right";8;"GP060013.MP4";"00:17:43";7;"00:00:00";"00:00:00";"00:17:43";"";""
