"X.sampling_code";"field_code";"date";"time";"country";"site";"code_site";"longitude";"latitude";"Abiotic_code";"Tide_code";"depth";"technique";"project";"remarks"
"1";"MAEULONG001";"long1";"2019-04-08";"10:00:00";"FR_europa";"Europa_north";"EURO_N";40.33989;-22.33933;"EURO1";"FR_europa_TID_01";6;"RUV";"MAPOR";"système déposé puis corde 5m passé et cadrat de 1m² posé en face de chaque caméra"
"2";"MAEULONG002";"long2";"2019-04-09";"09:48:00";"FR_europa";"Europa_north";"EURO_N";40.35828;-22.33248;"EURO2";"FR_europa_TID_02";7;"RUV";"MAPOR";"système déposé puis corde 5m passé et cadrat de 1m² posé en face de chaque caméra"
"3";"MAEULONG003";"long3";"2019-04-09";"09:48:00";"FR_europa";"Europa_north";"EURO_N";40.35839;-22.33262;"EURO2";"FR_europa_TID_02";6;"RUV";"MAPOR";"système déposé puis corde 5m passé et cadrat de 1m² posé en face de chaque caméra, vidéo gardé par Virginie"
"4";"MAEULONG004";"long4";"2019-04-10";"10:00:00";"FR_europa";"Europa_north";"EURO_N";40.39148;-22.33809;"EURO5";"FR_europa_TID_03";9;"RUV";"MAPOR";NA
"5";"MAEULONG005";"long5";"2019-04-11";"09:30:00";"FR_europa";"Europa_north";"EURO_N";40.34245;-22.33775;"EURO8";"FR_europa_TID_04";7;"RUV";"MAPOR";"système déposé puis corde 5m passé devant chaque caméra"
"6";"MAEUROS001";"euro1";"2019-04-08";"10:50:00";"FR_europa";"Europa_north";"EURO_N";40.33313;-22.34254;"EURO1";"FR_europa_TID_01";9;"rosette";"MAPOR";NA
"7";"MAEUROS002";"euro2";"2019-04-08";"10:55:00";"FR_europa";"Europa_north";"EURO_N";40.33291;-22.34219;"EURO1";"FR_europa_TID_01";25;"rosette";"MAPOR";NA
"8";"MAEUROS003";"euro3";"2019-04-08";"11:00:00";"FR_europa";"Europa_north";"EURO_N";40.33265;-22.34204;"EURO1";"FR_europa_TID_01";46.3;"rosette";"MAPOR";NA
"9";"MAEUROS004";"euro4";"2019-04-08";"11:06:00";"FR_europa";"Europa_north";"EURO_N";40.33246;-22.3917;"EURO1";"FR_europa_TID_01";112;"rosette";"MAPOR";"descente lente, dérive importante"
"10";"MAEUROS005";"euro5";"2019-04-08";"11:15:00";"FR_europa";"Europa_north";"EURO_N";40.33223;-22.3418;"EURO1";"FR_europa_TID_01";76;"rosette";"MAPOR";NA
"11";"MAEUROS006";"euro6";"2019-04-08";"11:43:00";"FR_europa";"Europa_north";"EURO_N";40.35013;-22.33362;"EURO1";"FR_europa_TID_01";15;"rosette";"MAPOR";NA
"12";"MAEUROS007";"euro7";"2019-04-08";"11:46:00";"FR_europa";"Europa_north";"EURO_N";40.35018;-22.33288;"EURO1";"FR_europa_TID_01";45;"rosette";"MAPOR";NA
"13";"MAEUROS008";"euro8";"2019-04-08";"11:53:00";"FR_europa";"Europa_north";"EURO_N";40.35033;-22.33257;"EURO1";"FR_europa_TID_01";73;"rosette";"MAPOR";NA
"14";"MAEUROS009";"euro9";"2019-04-08";"12:11:00";"FR_europa";"Europa_north";"EURO_N";40.36022;-22.33081;"EURO1";"FR_europa_TID_01";12;"rosette";"MAPOR";NA
"15";"MAEUROS010";"euro10";"2019-04-08";"12:14:00";"FR_europa";"Europa_north";"EURO_N";40.36055;-22.32936;"EURO1";"FR_europa_TID_01";25;"rosette";"MAPOR";NA
"16";"MAEUROS011";"euro11";"2019-04-08";"12:17:00";"FR_europa";"Europa_north";"EURO_N";40.36058;-22.32903;"EURO1";"FR_europa_TID_01";72;"rosette";"MAPOR";NA
"17";"MAEUROS012";"euro12";"2019-04-08";"12:45:00";"FR_europa";"Europa_north";"EURO_N";40.37794;-22.3295;"EURO1";"FR_europa_TID_01";15;"rosette";"MAPOR";NA
"18";"MAEUROS013";"euro13";"2019-04-08";"12:48:00";"FR_europa";"Europa_north";"EURO_N";40.37848;-22.32853;"EURO1";"FR_europa_TID_01";45;"rosette";"MAPOR";NA
"19";"MAEUROS014";"euro14";"2019-04-08";"12:53:00";"FR_europa";"Europa_north";"EURO_N";40.37897;-22.32808;"EURO1";"FR_europa_TID_01";70;"rosette";"MAPOR";"rosette accroché"
"20";"MAEURUV001";"ES1";"2019-04-08";"14:11:00";"FR_europa";"Europa_north";"EURO_N";40.35929;-22.33183;"EURO1";"FR_europa_TID_01";8.6;"RUV";"MAPOR";NA
"21";"MAEURUV002";"ES2";"2019-04-08";"14:20:00";"FR_europa";"Europa_north";"EURO_N";40.3593;-22.3304;"EURO1";"FR_europa_TID_01";18;"RUV";"MAPOR";NA
"22";"MAEURUV003";"ES3";"2019-04-08";"14:29:00";"FR_europa";"Europa_north";"EURO_N";40.35934;-22.32983;"EURO1";"FR_europa_TID_01";24.7;"RUV";"MAPOR";NA
"23";"MAEURUV004";"ES4";"2019-04-08";"14:48:00";"FR_europa";"Europa_north";"EURO_N";40.35944;-22.32959;"EURO1";"FR_europa_TID_01";40;"RUV";"MAPOR";"boué sous l'eau, remonté anticipé"
"24";"MAEURUV005";"ES5";"2019-04-08";"15:00:00";"FR_europa";"Europa_north";"EURO_N";40.35959;-22.3293;"EURO1";"FR_europa_TID_01";66;"RUV";"MAPOR";"boué qui a coulé imédiatement, donc remonté rapidement"
"25";"MAEURUV006";"ES6";"2019-04-09";"10:10:00";"FR_europa";"Europa_north";"EURO_N";40.3593;-22.32981;"EURO3";"FR_europa_TID_02";25.2;"RUV";"MAPOR";NA
"26";"MAEURUV007";"ES7";"2019-04-09";"10:20:00";"FR_europa";"Europa_north";"EURO_N";40.35933;-22.33036;"EURO3";"FR_europa_TID_02";18.5;"RUV";"MAPOR";NA
"27";"MAEURUV008";"ES8";"2019-04-09";"10:26:00";"FR_europa";"Europa_north";"EURO_N";40.35927;-22.33174;"EURO3";"FR_europa_TID_02";8.5;"RUV";"MAPOR";NA
"28";"MAEURUV009";"ES9";"2019-04-09";"10:33:00";"FR_europa";"Europa_north";"EURO_N";40.35942;-22.32958;"EURO3";"FR_europa_TID_02";43;"RUV";"MAPOR";NA
"29";"MAEURUV010";"ES10";"2019-04-09";"10:43:00";"FR_europa";"Europa_north";"EURO_N";40.35962;-22.32935;"EURO3";"FR_europa_TID_02";63;"RUV";"MAPOR";"ligne prise dans l'hélice"
"30";"MAEURUV011";"ES11";"2019-04-09";"11:03:00";"FR_europa";"Europa_north";"EURO_N";40.35964;-22.3292;"EURO3";"FR_europa_TID_02";72;"RUV";"MAPOR";NA
"31";"MAEURUV012";"ES12";"2019-04-09";"13:02:00";"FR_europa";"Europa_north";"EURO_N";40.33195;-22.34172;"EURO4";"FR_europa_TID_02";73;"RUV";"MAPOR";"remonté car en dérive"
"32";"MAEURUV013";"ES13";"2019-04-09";"13:14:00";"FR_europa";"Europa_north";"EURO_N";40.33195;-22.34196;"EURO4";"FR_europa_TID_02";61;"RUV";"MAPOR";"remonté car en dérive"
"33";"MAEURUV014";"ES14";"2019-04-09";"13:38:00";"FR_europa";"Europa_north";"EURO_N";40.33214;-22.34209;"EURO4";"FR_europa_TID_02";35;"RUV";"MAPOR";"remonté car en dérive"
"34";"MAEURUV015";"ES15";"2019-04-09";"13:54:00";"FR_europa";"Europa_north";"EURO_N";40.33145;-22.34226;"EURO4";"FR_europa_TID_02";50;"RUV";"MAPOR";NA
"35";"MAEURUV016";"ES16";"2019-04-09";"14:20:00";"FR_europa";"Europa_north";"EURO_N";40.33089;-22.3421;"EURO4";"FR_europa_TID_02";60;"RUV";"MAPOR";"remonté car en dérive"
"36";"MAEURUV017";"ES17";"2019-04-09";"14:28:00";"FR_europa";"Europa_north";"EURO_N";40.33119;-22.34266;"EURO4";"FR_europa_TID_02";30;"RUV";"MAPOR";NA
"37";"MAEURUV018";"ES18";"2019-04-09";"14:35:00";"FR_europa";"Europa_north";"EURO_N";40.33169;-22.34292;"EURO4";"FR_europa_TID_02";13;"RUV";"MAPOR";"fibre optique débranché"
"38";"MAEURUV019";"ES19";"2019-04-09";"14:38:00";"FR_europa";"Europa_north";"EURO_N";40.33204;-22.34328;"EURO4";"FR_europa_TID_02";7;"RUV";"MAPOR";NA
"39";"MAEURUV020";"ES20";"2019-04-10";"11:00:00";"FR_europa";"Europa_north";"EURO_N";40.37742;-22.33063;"EURO6";"FR_europa_TID_03";6;"RUV";"MAPOR";"repose rapidos et pris c'est mis à l'eau"
"40";"MAEURUV021";"ES21";"2019-04-10";"11:10:00";"FR_europa";"Europa_north";"EURO_N";40.37779;-22.32905;"EURO6";"FR_europa_TID_03";19.2;"RUV";"MAPOR";NA
"41";"MAEURUV022";"ES22";"2019-04-10";"11:18:00";"FR_europa";"Europa_north";"EURO_N";40.37864;-22.32873;"EURO6";"FR_europa_TID_03";32;"RUV";"MAPOR";NA
"42";"MAEURUV023";"ES23";"2019-04-10";"11:28:00";"FR_europa";"Europa_north";"EURO_N";40.37996;-22.32845;"EURO6";"FR_europa_TID_03";52.3;"RUV";"MAPOR";"remonté car en dérive"
"43";"MAEURUV024";"ES24";"2019-04-10";"11:40:00";"FR_europa";"Europa_north";"EURO_N";40.38286;-22.32849;"EURO6";"FR_europa_TID_03";68;"RUV";"MAPOR";"gopro droite 4 arrété"
"44";"MAEURUV025";"ES25";"2019-04-10";"11:58:00";"FR_europa";"Europa_north";"EURO_N";40.38248;-22.32881;"EURO6";"FR_europa_TID_03";50;"RUV";"MAPOR";NA
"45";"MAEURUV026";"ES26";"2019-04-10";"14:02:00";"FR_europa";"Europa_north";"EURO_N";40.3595;-22.32926;"EURO7";"FR_europa_TID_03";74.9;"RUV";"MAPOR";NA
