"Genus_species";"Class";"Familly";"Genus";"Species";"Authority";"AphiaID";"Worms_url";"Fishbase_url";"English_name";"French_name";"nom_francais";"Comorian_name";"picture1_Fishbase";"picture2_Fishbase";"picture3_Fishbase";"picture4_Fishbase";"photos";"photos_origin";"Location_recorded";"Location_uncertainties";"Ref_location";"description";"Reef_associated";"Reef_associated_ref";"Size";"Size_ref";"Mobility";"Mobility_ref";"Activity";"Activity_ref";"Schooling";"Schooling_ref";"Position";"Position_ref";"Diet";"Diet_ref";"Diet_Fishbase";"Food.names_Fishbase";"Trophic.level_Fishbase";"BodyShape_Fishbase";"swimtype_Fishbase";"CommonLength_Fishbase";"Length_Fishbase";"MaxLengthTL_Fishbase";"TLObserved_Fishbase";"Weight_Fishbase";"LongevityWild_Fishbase";"AgeMax_Fishbase";"Vulnerability_Fishbase";"a";"b";"a.b_ref";"K";"K_ref";"DepthMin_Fishbase";"DepthMax_Fishbase";"TempPrefMin_Fishbase";"TempPrefMean_Fishbase";"TempPrefMax_Fishbase"
"1";"Abalistes_stellatus";"Actinopterygii";"Balistidae";"Abalistes";"stellatus";NA;219873;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=219873";"https://www.fishbase.us/summary/Abalistes-stellatus.html";"Starry triggerfish";"NA";NA;"NA";"http://www.fishbase.org/images/thumbnails/jpg/tn_Abste_u8.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Abste_u9.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Abste_ub.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Abste_ua.jpg";"55";"collected_internet";"Mayotte";NA;"Wickel et al 2014";NA;"yes";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"50.1-80cm";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"sedentary";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"diurnal";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"solitary";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"benthic";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"invertivorous-targeting-mobile-invertebrate";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";NA;"NA";3.43;"short and / or deep";"NA";NA;60;60;0;NA;NA;NA;43.83;0.025704;2.94;"Fishbase_extraction_14/02/2021";0.21;"Fishbase_extraction_14/02/2021";7;350;18.5;25;28.1
"2";"Ablennes_hians";"Actinopterygii";"Belonidae";"Ablennes";"hians";"Valenciennes, 1846";159246;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=159246";"https://www.fishbase.us/summary/Ablennes-hians.html";"Flat needlefish";"Orphie coutelas";NA;"NA";"http://www.fishbase.org/images/thumbnails/jpg/tn_Abhia_u2.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Abhia_u1.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Abhia_m0.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Abhia_u0.jpg";NA;"collected_internet";"Mayotte";NA;"Wickel et al 2014";NA;"no";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";">80cm";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"mobile_between_reefs";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"both_diurnal_and_nocturnal";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"20_50_individuals";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"pelagic";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"piscivorous";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"nekton/finfish/bony_fish_:_1";"unspecified_small_fishes";4.5;"elongated";"NA";70;140;140;0;4800;NA;NA;39.61;0.000870964;3.1;"Fishbase_extraction_14/02/2021";0.61;"Fishbase_extraction_14/02/2021";0;3;22.6;27.9;29.2
"3";"Abudefduf_notatus";"Actinopterygii";"Pomacentridae";"Abudefduf";"notatus";"Day, 1870";212870;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=212870";"https://www.fishbase.us/summary/Abudefduf-notatus.html";"Yellow-tail sergeant";NA;NA;"NA";"http://www.fishbase.org/images/thumbnails/jpg/tn_Abnot_u3.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Abnot_u4.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Abnot_u0.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Abnot_u2.jpg";"226";"collected_internet";"Mayotte";NA;"Wickel et al 2014";NA;"yes";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"15.1-30cm";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"sedentary";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"diurnal";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"20_50_individuals";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"bentho-pelagic";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"omnivorous";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"plants/other_plants/benthic_algae_or_weeds_:_1;zooplankton/other_plank._invertebrates/other_plank._invertebrates_:_1";"unspecified_algae ; unspecified_zooplankton";2.73;"short and / or deep";"oscillation of median or pectoral fins";NA;17;17;0;NA;NA;NA;26.64;0.0190546;3;"Fishbase_extraction_14/02/2021";0.46;"Fishbase_extraction_14/02/2021";1;12;22.9;28.4;29.3
"4";"Abudefduf_septemfasciatus";"Actinopterygii";"Pomacentridae";"Abudefduf";"septemfasciatus";"Cuvier, 1830";212878;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=212878";"https://www.fishbase.us/summary/Abudefduf-septemfasciatus.html";"Banded sergeant";"Boeteur";NA;"NA";"http://www.fishbase.org/images/thumbnails/jpg/tn_Absep_u0.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Absep_u5.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Absep_u3.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Absep_u1.jpg";NA;"collected_internet";"Mayotte";NA;"Wickel et al 2014";NA;"yes";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"15.1-30cm";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"sedentary";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"diurnal";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"20_50_individuals";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"bentho-pelagic";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"omnivorous";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"plants/other_plants/benthic_algae_or_weeds_:_2;zoobenthos/benth._crust./benth._copepods_:_1;nekton/finfish/other_finfish_:_1;zooplankton/plank._crust./other_plank._crustaceans_:_1;zooplankton/other_plank._invertebrates/other_plank._invertebrates_:_1";"unidentified ; unspecified_algae ; unspecified_zooplankton";3.01;"short and / or deep";"oscillation of median or pectoral fins";NA;23;23;0;NA;NA;NA;31.03;0.0190546;3;"Fishbase_extraction_14/02/2021";0.35;"Fishbase_extraction_14/02/2021";0;3;25.6;28.6;29.3
"5";"Abudefduf_sexfasciatus";"Actinopterygii";"Pomacentridae";"Abudefduf";"sexfasciatus";NA;159289;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=159289";"https://www.fishbase.us/summary/Abudefduf-sexfasciatus.html";"Scissor-tail sergeant";"Boeteur carreaux";NA;"NA";"http://www.fishbase.org/images/thumbnails/jpg/tn_Absex_u8.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Absex_u7.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Absex_u0.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Absex_u4.jpg";"627";"collected_internet";"Mayotte";NA;"Wickel et al 2014";NA;"yes";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"15.1-30cm";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"sedentary";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"diurnal";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"20_50_individuals";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"bentho-pelagic";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"planktivorous";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"plants/other_plants/benthic_algae_or_weeds_:_1;zooplankton/other_plank._invertebrates/other_plank._invertebrates_:_1";"unspecified_algae ; unspecified_zooplankton";2.7;"short and / or deep";"oscillation of median or pectoral fins";NA;19;19;0;NA;NA;NA;28.6;0.0213796;3.04;"Fishbase_extraction_14/02/2021";0.41;"Fishbase_extraction_14/02/2021";1;20;24.7;28.4;29.3
"6";"Abudefduf_sordidus";"Actinopterygii";"Pomacentridae";"Abudefduf";"sordidus";NA;212888;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=212888";"https://www.fishbase.us/summary/Abudefduf-sordidus.html";"Black-spot sergeant";"Boeteur roche";NA;"NA";"http://www.fishbase.org/images/thumbnails/jpg/tn_Absor_u6.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Absor_u0.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Absor_u3.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Absor_u2.jpg";NA;"collected_internet";"Mayotte";NA;"Wickel et al 2014";NA;"yes";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"15.1-30cm";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"sedentary";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"diurnal";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"20_50_individuals";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"bentho-pelagic";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"omnivorous";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"zoobenthos/benth._crust./amphipods_:_1;plants/other_plants/benthic_algae_or_weeds_:_1;zoobenthos/mollusks/bivalves_:_1;zoobenthos/benth._crust./crabs_:_1;detritus/detritus/debris_:_1;zoobenthos/benth._crust./isopods_:_1;zoobenthos/other_benth._invertebrat";"unidentified ; Calcarina_sp. ; mites";2.69;"short and / or deep";"oscillation of median or pectoral fins";NA;24;24;0;NA;NA;NA;32;0.0194984;3.03;"Fishbase_extraction_14/02/2021";0.33;NA;0;3;24.7;28.4;29.3
"7";"Abudefduf_sparoides";"Actinopterygii";"Pomacentridae";"Abudefduf";"sparoides";"Quoy & Gaimard, 1825";212862;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=212862";"https://www.fishbase.us/summary/Abudefduf-sparoides.html";"False-eye sergeant";"NA";NA;"NA";"http://www.fishbase.org/images/thumbnails/jpg/tn_Abspa_u0.jpg";"https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/300px-No_image_available.svg.png";"NA";"NA";"227";"collected_internet";"Mayotte";NA;"Wickel et al 2014";NA;"yes";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"15.1-30cm";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"sedentary";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"diurnal";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"20_50_individuals";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"bentho-pelagic";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"omnivorous";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"plants/other_plants/benthic_algae_or_weeds_:_1;zoobenthos/benth._crust./other_benth._crustaceans_:_1;zoobenthos/other_benth._invertebrates/other_benth._invertebrates_:_1;zooplankton/other_plank._invertebrates/other_plank._invertebrates_:_1";"unspecified_algae ; unspecified_crustaceans ; unspecified_small_invertebrates ; unspecified_zooplankton";3.03;"short and / or deep";"oscillation of median or pectoral fins";NA;16;16;0;NA;NA;NA;25.89;0.0190546;3;"Fishbase_extraction_14/02/2021";0.48;NA;0;6;23.9;26.9;28
"8";"Abudefduf_vaigiensis";"Actinopterygii";"Pomacentridae";"Abudefduf";"vaigiensis";"Quoy & Gaimard, 1825";212879;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=212879";"https://www.fishbase.us/summary/Abudefduf-vaigiensis.html";"Sergeant major";"NA";"Sergent-major bagnard";"NA";"http://www.fishbase.org/images/thumbnails/jpg/tn_Abvai_u1.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Abvai_ub.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Abvai_u9.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Abvai_u3.jpg";"228";"collected_internet";"Mayotte";NA;"Wickel et al 2014";NA;"yes";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"15.1-30cm";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"sedentary";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"diurnal";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"20_50_individuals";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"bentho-pelagic";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"planktivorous";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"zoobenthos/benth._crust./amphipods_:_2;plants/other_plants/benthic_algae_or_weeds_:_2;zoobenthos/insects/insects_:_2;zoobenthos/benth._crust./other_benth._crustaceans_:_2;zoobenthos/sponges_or_tunicates/ascidians_:_1;zoobenthos/benth._crust./benth._copepo";"unidentified ; Halobates_spp. ; unidentified_seaweeds ; unidentified_siphonophores ; unidentified_fish_eggs";2.57;"short and / or deep";"oscillation of median or pectoral fins";NA;20;20;0;NA;NA;3.53;15.82;0.0245471;3.01;"Fishbase_extraction_14/02/2021";0.85;NA;1;15;21.9;28.2;29.3
"9";"Acanthocybium_solandri";"Actinopterygii";"Scombridae";"Acanthocybium";"solandri";"Cuvier, 1832";127014;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=127014";"https://www.fishbase.us/summary/Acanthocybium-solandri.html";"Wahoo";"Thon banane";NA;"M'Bassi n'gourou";"http://www.fishbase.org/images/thumbnails/jpg/tn_Acsol_ua.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Acsol_f0.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Acsol_u8.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Acsol_u5.jpg";"719,590";"collected_internet";"Mayotte";NA;"Wickel et al 2014";NA;"no";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";">80cm";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"mobile_between_reefs";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"both_diurnal_and_nocturnal";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"3_20_individuals";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"pelagic";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"piscivorous";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"nekton/finfish/bony_fish_:_37;nekton/cephalopods/squids_or_cuttlefish_:_2;plants/other_plants/benthic_algae_or_weeds_:_1;zoobenthos/mollusks/other_cephalopods_:_1";"Argonauta_sp. ; Loligo_sp. ; Balistes_carolinensis ; unidentified ; Alectis_ciliaris ; Caranx_sp. ; Decapterus_punctatus ; Decapterus_sp. ; Selene_setapinnis ; Etrumeus_teres ; Sardinella_aurita ; Coryphaena_hippurus ; Dactylopterus_volitans ; Chilomycter";4.26;"elongated";"movements of body and/or caudal fin";170;250;250;0;83000;NA;9.3;46.16;0.00288403;3.16;"Fishbase_extraction_14/02/2021";0.33;NA;0;20;18.2;24.7;27.6
"10";"Acanthurus_bariene";"Actinopterygii";"Acanthuridae";"Acanthurus";"bariene";"Lesson, 1831";219637;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=219637";"https://www.fishbase.us/summary/Acanthurus-bariene.html";"Roundspot surgeonfish";"NA";NA;"NA";"https://www.fishbase.se/images/thumbnails/jpg/tn_Acbar_u0.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Acbar_u3.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Acbar_u1.jpg";"http://www.fishbase.org/images/thumbnails/jpg/tn_Acbar_u2.jpg";"420,50";"collected_internet";"Mayotte";NA;"Wickel et al 2014";NA;"yes";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"30.1-50cm";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"mobile_within_a_reef";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"diurnal";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"solitary";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"benthic";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"herbivorous-detritivorous";"GASPAR project url : https://www.fondationbiodiversite.fr/en/the-frb-in-action/programs-and-projects/le-cesab/gaspar/";"plants/other_plants/periphyton_:_1";"unidentified";2;"short and / or deep";"NA";NA;50;50;0;NA;NA;NA;36.05;0.0190546;2.95;"Fishbase_extraction_14/02/2021";0.29;NA;6;50;24.5;27.5;28.4
