Sample_code,island,Site
MA_GMO_130,Mayotte,M3
MA_GMO_131,Mayotte,M3
MA_GMO_132,Mayotte,M3
MA_GMO_133,Mayotte,M3
MA_GMO_152,Mayotte,M3
MA_GMO_153,Mayotte,M3
MA_GMO_154,Mayotte,M3
MA_GMO_155,Mayotte,M3
MA_GMO_169,Mayotte,M3
MA_GMO_170,Mayotte,M3
MA_GMO_171,Mayotte,M3
MA_GMO_172,Mayotte,M3
MA_GMO_199,Mayotte,M3
MA_GMO_200,Mayotte,M3
MA_GMO_201,Mayotte,M3
MA_GMO_202,Mayotte,M3
MA_JOS_096,Mayotte,M2
MA_JOS_097,Mayotte,M2
MA_JOS_098,Mayotte,M2
MA_JOS_099,Mayotte,M2
MA_JOS_122,Mayotte,M2
MA_JOS_123,Mayotte,M2
MA_JOS_124,Mayotte,M2
MA_JOS_156,Mayotte,M2
MA_JOS_157,Mayotte,M2
MA_JOS_158,Mayotte,M2
MA_JOS_159,Mayotte,M2
MA_JOS_173,Mayotte,M2
MA_JOS_174,Mayotte,M2
MA_JOS_175,Mayotte,M2
MA_JOS_176,Mayotte,M2
MA_JOS_195,Mayotte,M2
MA_JOS_196,Mayotte,M2
MA_JOS_197,Mayotte,M2
MA_JOS_198,Mayotte,M2
MA_MHA_075,Mayotte,M4
MA_MHA_076,Mayotte,M4
MA_MHA_077,Mayotte,M4
MA_MHA_078,Mayotte,M4
MA_MHA_079,Mayotte,M4
MA_MHA_080,Mayotte,M4
MA_MHA_081,Mayotte,M4
MA_MHA_082,Mayotte,M4
MA_MHA_083,Mayotte,M4
MA_MHA_084,Mayotte,M4
MA_MHA_085,Mayotte,M4
MA_MHA_086,Mayotte,M4
MA_MHA_087,Mayotte,M4
MA_MHA_088,Mayotte,M4
MA_MHA_089,Mayotte,M4
MA_MHA_090,Mayotte,M4
MA_MHA_091,Mayotte,M4
MA_MHA_092,Mayotte,M4
MA_MHA_093,Mayotte,M4
MA_MHA_094,Mayotte,M4
MA_MHA_100,Mayotte,M4
MA_MHA_101,Mayotte,M4
MA_MHA_102,Mayotte,M4
MA_MHA_104,Mayotte,M4
MA_MHA_105,Mayotte,M4
MA_MHA_106,Mayotte,M4
MA_MHA_107,Mayotte,M4
MA_MHA_108,Mayotte,M4
MA_MHA_109,Mayotte,M4
MA_MHA_110,Mayotte,M4
MA_MHA_111,Mayotte,M4
